datetime,open,high,low,close,volume
2018-02-19 00:00:00,913.4,956.0,911.0,939.01,53604.18377857
2018-02-20 00:00:00,939.01,958.0,875.0,884.76,120862.01182593
2018-02-21 00:00:00,884.77,908.17,817.01,840.34,135641.91857835
2018-02-22 00:00:00,840.31,870.0,790.01,806.0,105441.6326386
2018-02-23 00:00:00,806.0,883.89,786.0,854.01,105258.56447565
2018-02-24 00:00:00,854.01,874.66,808.37,833.2,66461.87856069
2018-02-25 00:00:00,833.2,849.26,816.89,841.96,39655.67873162
2018-02-26 00:00:00,841.96,877.5,835.0,867.09,67394.02255544
2018-02-27 00:00:00,867.1,894.0,860.5,871.07,65115.19154972
2018-02-28 00:00:00,871.07,887.5,848.21,849.99,60718.84772108
2018-03-01 00:00:00,849.99,878.0,845.54,868.74,51017.46336265
2018-03-02 00:00:00,868.75,873.12,845.85,854.31,46202.19655424
2018-03-03 00:00:00,854.3,866.72,851.04,854.34,35046.64999677
2018-03-04 00:00:00,854.34,865.0,836.3,861.74,36135.5736882
2018-03-05 00:00:00,861.74,866.0,848.83,848.83,40939.49250903
2018-03-06 00:00:00,848.83,849.97,800.89,815.43,62303.95684311
2018-03-07 00:00:00,815.44,825.0,724.0,751.38,138801.22495145
2018-03-08 00:00:00,751.38,774.0,686.0,698.83,111033.84491381
2018-03-09 00:00:00,698.81,734.0,641.6,728.46,172486.90960483
2018-03-10 00:00:00,728.46,749.0,680.2,683.6,69514.86138119
2018-03-11 00:00:00,683.6,735.0,666.0,719.79,67834.01788669
2018-03-12 00:00:00,719.79,739.0,678.0,696.51,76014.9779029
2018-03-13 00:00:00,696.51,713.45,679.78,690.39,64082.73782615
2018-03-14 00:00:00,690.32,702.5,585.52,614.63,153028.37672067
2018-03-15 00:00:00,614.63,621.47,571.16,610.99,149125.19563793
2018-03-16 00:00:00,611.0,626.13,585.0,600.51,88999.75786119
2018-03-17 00:00:00,600.52,609.94,541.11,549.79,105894.77241498
2018-03-18 00:00:00,549.79,587.74,450.0,538.0,444996.56948669
2018-03-19 00:00:00,538.01,560.9,516.4,555.55,185104.97751743
2018-03-20 00:00:00,555.44,567.04,515.97,558.0,161094.32369964
2018-03-21 00:00:00,558.0,589.75,545.2,559.98,119344.11951373
2018-03-22 00:00:00,559.99,578.73,517.6,539.89,96400.02307994
2018-03-23 00:00:00,539.9,543.04,507.84,543.04,87454.1549111
2018-03-24 00:00:00,543.04,545.94,517.7,519.57,53609.18496706
2018-03-25 00:00:00,519.58,536.0,510.2,522.55,51317.17024489
2018-03-26 00:00:00,522.55,525.0,466.1,486.75,151611.18882043
2018-03-27 00:00:00,486.75,493.0,445.0,449.0,163326.70003859
2018-03-28 00:00:00,449.0,464.89,439.18,445.47,96060.62752281
2018-03-29 00:00:00,445.72,448.0,379.1,383.29,291819.30211658
2018-03-30 00:00:00,383.3,411.0,365.0,394.46,285614.7646498
2018-03-31 00:00:00,394.47,438.77,388.88,394.54,157961.19963445
2018-04-01 00:00:00,394.73,400.65,360.0,378.18,110964.69777902
2018-04-02 00:00:00,378.69,393.96,375.36,384.0,91317.1026635
2018-04-03 00:00:00,384.0,421.59,380.89,416.28,165871.58692268
2018-04-04 00:00:00,416.29,418.0,370.08,378.43,120039.45534577
2018-04-05 00:00:00,378.42,387.2,366.54,381.55,92587.28752724
2018-04-06 00:00:00,381.55,386.21,363.33,370.32,96737.30368153
2018-04-07 00:00:00,370.32,395.9,369.2,384.61,62794.02261332
2018-04-08 00:00:00,384.62,404.4,384.61,399.9,70956.26828009
2018-04-09 00:00:00,399.9,432.0,388.0,398.8,131510.44151693
2018-04-10 00:00:00,398.8,418.26,392.25,415.45,69641.56857811
2018-04-11 00:00:00,415.45,433.83,410.11,430.81,91622.26394054
2018-04-12 00:00:00,430.82,497.0,413.81,493.41,247902.01497352
2018-04-13 00:00:00,493.42,529.36,481.18,495.76,236191.09457986
2018-04-14 00:00:00,495.76,513.86,488.0,502.4,77289.00537972
2018-04-15 00:00:00,502.4,534.57,502.4,533.74,101647.50851232
2018-04-16 00:00:00,534.0,537.5,498.29,511.28,130844.05596765
2018-04-17 00:00:00,511.29,522.0,500.49,502.42,96075.46298383
2018-04-18 00:00:00,502.43,526.49,501.2,525.89,98209.17829484
2018-04-19 00:00:00,525.9,569.95,521.18,567.29,134431.90904282
2018-04-20 00:00:00,567.29,622.22,557.4,617.17,186456.04306219
2018-04-21 00:00:00,617.17,624.21,571.61,605.16,105009.75223954
2018-04-22 00:00:00,605.16,643.47,590.7,620.07,93457.05655859
2018-04-23 00:00:00,620.08,647.47,618.7,642.85,93438.80089026
2018-04-24 00:00:00,642.85,711.0,642.85,703.38,207432.35618658
2018-04-25 00:00:00,703.38,704.0,578.75,617.49,341753.13213573
2018-04-26 00:00:00,617.5,667.0,600.0,661.0,146340.68819105
2018-04-27 00:00:00,661.01,685.91,638.33,643.11,115972.93900682
2018-04-28 00:00:00,643.11,693.15,638.7,682.0,75723.8348299
2018-04-29 00:00:00,682.01,696.71,666.04,687.51,68368.91701607
2018-04-30 00:00:00,688.0,692.45,662.11,669.81,91361.21901579
2018-05-01 00:00:00,669.82,675.01,627.2,670.75,156063.56183062
2018-05-02 00:00:00,670.74,689.98,660.63,685.02,100629.0546095
2018-05-03 00:00:00,685.65,784.76,684.0,775.51,191794.75198349
2018-05-04 00:00:00,775.51,805.31,757.1,783.01,150931.93016815
2018-05-05 00:00:00,783.01,824.67,778.5,812.0,98235.94776246
2018-05-06 00:00:00,812.0,828.97,750.7,784.28,105797.16005163
2018-05-07 00:00:00,784.88,789.98,695.11,752.42,224756.62066775
2018-05-08 00:00:00,752.43,776.0,720.0,746.99,127881.06212239
2018-05-09 00:00:00,746.99,759.5,708.8,750.0,100749.17068492
2018-05-10 00:00:00,750.0,768.0,723.01,723.51,89580.23122691
2018-05-11 00:00:00,723.51,735.19,662.18,678.05,185449.6282951
2018-05-12 00:00:00,678.05,692.39,637.65,684.66,107293.67817864
2018-05-13 00:00:00,684.7,740.31,671.0,729.29,81110.2164824
2018-05-14 00:00:00,729.29,746.06,684.0,726.9,165755.95743882
2018-05-15 00:00:00,726.91,738.0,694.75,706.08,96346.24302161
2018-05-16 00:00:00,706.09,710.44,677.55,707.45,87515.71655463
2018-05-17 00:00:00,707.45,717.17,661.0,668.56,83374.27295315
